Model,Feature_Type,Lookback,Train_IC,Train_PIC,Train_DA,Train_MSE,Train_Sharpe,Train_IR,Train_MaxDrawdown,Train_AnnualReturn,Val_IC,Val_PIC,Val_DA,Val_MSE,Val_Sharpe,Val_IR,Val_MaxDrawdown,Val_AnnualReturn,Test_IC,Test_PIC,Test_DA,Test_MSE,Test_Sharpe,Test_IR,Test_MaxDrawdown,Test_AnnualReturn
cnn_transformer,full,96,0.139300,0.173900,0.532500,0.000191,4.922700,0.908900,0.313000,3.199100,0.152300,0.209600,0.541500,0.000118,6.364400,1.105600,0.104800,3.258400,0.139300,0.162100,0.551200,0.000075,6.122300,1.056200,0.139100,2.492200
dlinear,full,48,0.342300,0.325000,0.621200,0.000182,10.607300,2.034500,0.199400,6.718700,0.081400,0.105100,0.526700,0.000121,1.467500,0.518200,0.329400,0.758900,0.083900,0.092000,0.524500,0.000078,0.218000,0.632100,0.368900,0.089700
lstm,full,96,0.162700,0.202600,0.550900,0.000192,5.698500,1.175700,0.338900,3.694800,0.141400,0.188100,0.543400,0.000120,5.602500,1.108400,0.144000,2.877600,0.104100,0.117900,0.530400,0.000076,3.660100,0.641800,0.160600,1.498400
lstm_transformer,full,96,0.091100,0.111800,0.525100,0.000194,3.764000,0.596800,0.435300,2.450900,0.077000,0.128600,0.511100,0.000121,4.679700,0.413800,0.187800,2.404300,0.108900,0.127700,0.537200,0.000076,4.546000,0.855200,0.202000,1.858600
modern_tcn,full,96,0.627900,0.598700,0.698800,0.000170,19.518900,4.052500,0.125800,11.645700,0.097400,0.131600,0.531900,0.000120,2.415300,0.711500,0.248200,1.249800,0.089000,0.092600,0.526100,0.000077,1.773200,0.681200,0.270800,0.729100
patchtst,full,96,0.163800,0.179400,0.546000,0.000190,5.173600,1.063500,0.354700,3.359400,0.128800,0.178000,0.535700,0.000118,5.740400,0.908100,0.156100,2.943400,0.093500,0.126700,0.515900,0.000077,1.356500,0.728100,0.332300,0.558100
tcn,full,96,0.100200,0.110600,0.533000,0.000194,2.428500,0.731400,0.583800,1.585600,0.112000,0.156400,0.543400,0.000120,4.533800,0.798600,0.161300,2.332400,0.055200,0.066700,0.513500,0.000077,0.440900,0.282600,0.422900,0.181700
timemixer,full,48,0.129800,0.144100,0.533600,0.000193,4.004700,0.872000,0.389800,2.606900,0.097000,0.138300,0.529100,0.000120,4.052200,0.746700,0.144500,2.084200,0.096700,0.110100,0.534600,0.000076,4.228700,0.814300,0.236500,1.726800
transformer,full,96,0.109100,0.103300,0.524800,0.000197,2.870300,0.720700,0.483300,1.872300,0.097200,0.135200,0.519300,0.000122,2.714700,0.710800,0.311800,1.403400,0.082500,0.096500,0.525100,0.000081,1.615900,0.739200,0.209000,0.665300
xgboost,full,96,0.135000,0.161300,0.538800,0.000194,5.295700,0.811400,0.333300,3.439000,0.150400,0.187300,0.544900,0.000121,7.193100,1.386300,0.117800,3.675300,0.137500,0.153700,0.541000,0.000076,4.449900,0.961900,0.183000,1.820700
cnn_transformer,price_funding,48,0.247400,0.235100,0.532700,0.000193,2.109000,1.521800,0.568500,1.376000,0.059700,0.054600,0.510300,0.000122,0.525100,0.407000,0.380300,0.271500,-0.004600,-0.006500,0.500200,0.000078,-1.391000,-0.010700,0.605300,-0.571400
dlinear,price_funding,48,0.176000,0.185900,0.562500,0.000191,3.931900,1.043400,0.384400,2.555000,0.008800,0.042700,0.502200,0.000122,-0.816800,0.080100,0.548000,-0.422000,0.002300,0.010000,0.508400,0.000078,-2.679400,-0.000200,0.795000,-1.099600
lstm,price_funding,48,0.075000,0.135700,0.522200,0.000194,2.250800,0.405600,0.569900,1.469100,0.043900,0.042600,0.517100,0.000122,1.028400,0.211500,0.384900,0.531600,-0.015100,0.003300,0.498800,0.000077,-0.619700,-0.224200,0.480500,-0.254600
lstm_transformer,price_funding,48,0.023900,0.024200,0.516400,0.000195,0.738400,0.548800,0.840400,0.482600,0.036800,0.055800,0.515600,0.000122,0.939200,0.656600,0.332500,0.485400,0.008100,0.014700,0.503100,0.000077,-0.711600,0.507100,0.518000,-0.292300
modern_tcn,price_funding,48,0.533600,0.516800,0.671300,0.000186,15.873100,3.063300,0.153700,9.735300,0.047200,0.033400,0.520000,0.000122,1.110500,0.213000,0.390800,0.573200,0.011400,-0.004300,0.504100,0.000077,-1.745900,0.049700,0.651500,-0.717900
patchtst,price_funding,48,0.065600,0.068700,0.525700,0.000195,1.010100,0.401900,0.656200,0.660300,0.021100,0.039000,0.510800,0.000122,-0.515100,0.107800,0.488500,-0.266600,0.006800,-0.002500,0.508900,0.000077,-1.652200,0.044600,0.620400,-0.679600
tcn,price_funding,48,0.172700,0.210800,0.556000,0.000193,4.722300,1.029700,0.272800,3.062200,0.054500,0.047400,0.525700,0.000122,0.129900,0.438200,0.445400,0.067200,0.003200,-0.009600,0.495400,0.000077,-3.595600,0.072300,0.789700,-1.478400
timemixer,price_funding,48,0.057400,0.062200,0.523800,0.000195,1.685900,0.514600,0.548100,1.100900,0.030100,0.047400,0.524300,0.000122,1.497800,0.270100,0.388700,0.773600,0.003600,-0.009100,0.507900,0.000078,0.046600,0.197600,0.507000,0.019100
transformer,price_funding,48,0.068100,0.115600,0.520200,0.000194,1.799000,0.442100,0.705900,1.175200,0.022700,0.041200,0.505100,0.000122,0.191800,0.239100,0.311100,0.099100,0.019800,0.029000,0.505500,0.000077,0.119300,0.149000,0.370200,0.049200
xgboost,price_funding,48,0.000000,0.000000,0.516400,0.000195,0.738400,0.000000,0.840400,0.482600,0.000000,0.000000,0.515600,0.000122,0.939200,0.000000,0.332500,0.485400,0.000000,0.000000,0.503100,0.000077,-0.711600,0.000000,0.518000,-0.292300
cnn_transformer,price_funding_fng,48,0.291900,0.302500,0.563100,0.000188,7.104300,1.979300,0.250700,4.576400,0.123700,0.166000,0.516100,0.000120,2.726200,0.917300,0.303700,1.406900,0.058800,0.078300,0.517600,0.000077,1.743000,0.416600,0.232000,0.716000
dlinear,price_funding_fng,48,0.240000,0.243200,0.583900,0.000187,6.777600,1.480800,0.390100,4.369700,0.085500,0.117500,0.538200,0.000120,2.789100,0.648400,0.274600,1.438700,0.054200,0.072700,0.513700,0.000078,0.186400,0.355400,0.460700,0.076600
lstm,price_funding_fng,48,0.119400,0.153300,0.520400,0.000193,3.524600,1.032200,0.443700,2.296500,0.123000,0.181600,0.542100,0.000120,4.337000,0.936800,0.248500,2.232700,0.140200,0.162200,0.554600,0.000076,4.590000,1.178900,0.192100,1.876400
lstm_transformer,price_funding_fng,48,0.098000,0.123800,0.523100,0.000194,2.292100,0.728300,0.547500,1.495500,0.101900,0.154200,0.520900,0.000121,3.441600,0.636300,0.161300,1.772300,0.132100,0.148300,0.532900,0.000077,3.126400,1.079400,0.267800,1.281200
modern_tcn,price_funding_fng,48,0.378300,0.399300,0.618800,0.000178,11.950700,2.289600,0.162400,7.530900,0.122000,0.178900,0.536300,0.000119,4.482500,0.924600,0.171200,2.310400,0.100000,0.125100,0.532900,0.000077,2.686000,0.636100,0.264100,1.101100
patchtst,price_funding_fng,48,0.148200,0.161500,0.538700,0.000190,4.256600,0.976500,0.304600,2.771500,0.160200,0.206800,0.538700,0.000117,5.852500,1.105900,0.184600,2.999200,0.106900,0.120300,0.528600,0.000078,3.244200,0.840500,0.205700,1.329700
tcn,price_funding_fng,48,0.135100,0.167300,0.536800,0.000192,3.890100,0.913400,0.387900,2.532400,0.133600,0.150200,0.544500,0.000120,4.186100,0.925300,0.241900,2.154300,0.096600,0.115200,0.527200,0.000076,0.751900,0.648200,0.305600,0.309900
timemixer,price_funding_fng,48,0.161600,0.188900,0.540300,0.000192,5.355700,1.110300,0.363000,3.474800,0.148600,0.212800,0.545900,0.000118,6.734100,1.102000,0.138700,3.438000,0.138600,0.177000,0.533900,0.000075,4.963500,1.059800,0.208600,2.026000
transformer,price_funding_fng,48,0.164600,0.187800,0.543000,0.000189,5.456900,1.177000,0.385500,3.540500,0.165300,0.221500,0.550300,0.000116,6.929600,1.322300,0.108600,3.544300,0.130700,0.161600,0.530100,0.000077,3.352900,0.967400,0.231500,1.372900
xgboost,price_funding_fng,48,0.135500,0.157400,0.538800,0.000193,5.336300,0.817500,0.333300,3.463600,0.148800,0.182800,0.544500,0.000120,7.072300,1.326300,0.117800,3.612000,0.137500,0.148600,0.542100,0.000076,4.497100,0.966300,0.183000,1.838600
cnn_transformer,price_long_onchain,48,0.352200,0.353300,0.612200,0.000192,10.382500,1.967600,0.157200,6.579900,0.036400,0.053300,0.509400,0.000122,-0.464700,0.303700,0.538400,-0.240300,-0.015800,-0.003400,0.482200,0.000077,-3.952700,-0.129900,0.805900,-1.621800
dlinear,price_long_onchain,48,0.288800,0.277200,0.601100,0.000187,8.137600,1.588500,0.435700,5.211800,0.025500,0.033200,0.510800,0.000123,0.154400,0.192700,0.402100,0.079800,-0.016400,-0.007300,0.506200,0.000080,-2.182900,-0.069100,0.653700,-0.896600
lstm,price_long_onchain,48,0.179200,0.220500,0.541300,0.000194,3.949900,1.018300,0.389500,2.570000,0.021300,0.022700,0.508900,0.000122,0.595900,0.147000,0.398600,0.308000,-0.029300,-0.025900,0.501000,0.000077,-1.000500,-0.061800,0.548500,-0.410800
lstm_transformer,price_long_onchain,48,0.049600,0.043100,0.516400,0.000195,0.738400,0.526800,0.840400,0.482600,0.011600,0.023800,0.515600,0.000122,0.939200,0.240500,0.332500,0.485400,0.002200,0.010000,0.502900,0.000077,-0.711400,0.235600,0.518000,-0.292100
modern_tcn,price_long_onchain,48,0.625300,0.594200,0.591600,0.000189,9.724500,3.144100,0.186600,6.183600,0.006700,0.020900,0.520400,0.000122,1.166400,0.044900,0.311400,0.602500,0.033400,0.037700,0.500500,0.000077,-0.898700,0.137000,0.578600,-0.369100
patchtst,price_long_onchain,48,0.103000,0.095500,0.535600,0.000194,2.099200,0.700200,0.481900,1.369900,0.064400,0.069500,0.518500,0.000121,0.921700,0.498400,0.476300,0.476200,-0.020800,0.015900,0.498100,0.000077,-0.480500,-0.132200,0.418400,-0.197200
tcn,price_long_onchain,48,0.023000,0.032900,0.508500,0.000195,0.073100,-0.025700,0.847100,0.047800,0.026300,0.041900,0.513200,0.000122,-0.573300,0.153500,0.451200,-0.297300,-0.034600,-0.020800,0.488000,0.000079,-2.296600,-0.301100,0.659000,-0.943900
timemixer,price_long_onchain,48,0.118700,0.130000,0.522600,0.000195,1.295100,0.768100,0.696900,0.846100,0.025200,0.034000,0.511300,0.000122,0.533700,0.165200,0.366700,0.275900,-0.030000,-0.029300,0.501400,0.000077,-0.701100,-0.138900,0.503700,-0.287800
transformer,price_long_onchain,48,0.081400,0.101800,0.525400,0.000193,2.707300,0.459100,0.467700,1.766500,-0.000600,0.019900,0.490100,0.000123,-0.772300,0.055900,0.581000,-0.400200,-0.017400,-0.014700,0.496200,0.000080,-1.915600,-0.197900,0.631500,-0.788000
xgboost,price_long_onchain,48,0.000000,0.000000,0.516400,0.000195,0.738400,0.000000,0.840400,0.482600,0.000000,0.000000,0.515600,0.000122,0.939200,0.000000,0.332500,0.485400,0.000000,0.000000,0.502900,0.000077,-0.711400,0.000000,0.518000,-0.292100
cnn_transformer,price_onchain,48,0.091700,0.102600,0.519500,0.000195,1.241100,0.630800,0.817900,0.810600,0.042800,0.059800,0.516600,0.000122,1.115300,0.430300,0.315800,0.576300,0.012900,0.011000,0.504300,0.000077,-0.774500,0.172600,0.513000,-0.318000
dlinear,price_onchain,48,0.207900,0.184200,0.573800,0.000190,5.359200,1.342000,0.389400,3.468400,0.027300,0.045500,0.516600,0.000122,-0.759500,0.198800,0.571500,-0.392500,-0.002400,-0.005700,0.497600,0.000079,-4.005500,0.027200,0.809700,-1.644500
lstm,price_onchain,48,0.068600,0.086700,0.523700,0.000194,1.607400,0.484400,0.739500,1.049900,0.057900,0.051900,0.520400,0.000122,0.849200,0.470000,0.452800,0.439200,0.022600,0.017100,0.505800,0.000077,-1.000700,0.163600,0.497800,-0.410800
lstm_transformer,price_onchain,48,0.046200,0.051200,0.512400,0.000195,1.036100,0.356300,0.566800,0.677400,0.027400,0.029600,0.510300,0.000122,1.434900,0.285600,0.293600,0.741200,0.010800,0.004700,0.503400,0.000077,-0.119100,0.170100,0.297000,-0.048900
modern_tcn,price_onchain,48,0.552800,0.503800,0.606300,0.000191,10.573900,2.862800,0.181500,6.695000,0.039800,0.026400,0.519000,0.000122,0.493900,0.248800,0.437500,0.255600,-0.037400,-0.025000,0.493800,0.000078,-2.220600,-0.281900,0.674200,-0.912800
patchtst,price_onchain,48,0.079700,0.079600,0.517600,0.000194,0.365100,0.583200,0.906800,0.238700,0.039800,0.044900,0.516100,0.000122,-0.415400,0.442800,0.591300,-0.215000,0.008200,0.004800,0.487500,0.000077,-1.899000,-0.000500,0.585800,-0.780500
tcn,price_onchain,48,0.116800,0.134600,0.534000,0.000194,2.557800,0.713800,0.420200,1.667100,0.038100,0.032400,0.526200,0.000122,0.405600,0.320000,0.382700,0.209700,-0.019500,-0.007100,0.497600,0.000077,-2.459500,-0.139300,0.649000,-1.012800
timemixer,price_onchain,48,0.064200,0.063800,0.519100,0.000194,1.776600,0.496000,0.506000,1.160600,0.033700,0.040200,0.501700,0.000122,0.428000,0.323100,0.311100,0.221200,0.018400,0.025900,0.502900,0.000077,-0.171300,0.159000,0.425100,-0.070400
transformer,price_onchain,48,0.077100,0.052700,0.529600,0.000195,1.232400,0.528200,0.649100,0.805100,0.020700,0.023500,0.510300,0.000122,-1.058700,0.243400,0.513500,-0.547900,0.001300,0.011700,0.501400,0.000077,-1.956000,0.106500,0.601300,-0.804300
xgboost,price_onchain,48,0.000000,0.000000,0.516400,0.000195,0.738400,0.000000,0.840400,0.482600,0.000000,0.000000,0.515600,0.000122,0.939200,0.000000,0.332500,0.485400,0.000000,0.000000,0.502900,0.000077,-0.711400,0.000000,0.518000,-0.292100
cnn_transformer,price_only,48,0.179000,0.162300,0.560600,0.000193,4.347700,1.064300,0.312200,2.822100,0.048400,0.045400,0.524800,0.000122,-0.273700,0.330500,0.430500,-0.141400,-0.033800,-0.040000,0.482900,0.000077,-2.973300,-0.173000,0.731500,-1.223100
dlinear,price_only,48,0.111800,0.118700,0.540800,0.000193,2.299300,0.649100,0.536200,1.498900,0.028900,0.030700,0.526200,0.000122,0.186200,0.108200,0.293200,0.096300,0.018600,0.019800,0.500700,0.000077,-1.426400,0.169000,0.605000,-0.586200
lstm,price_only,48,0.041400,0.062100,0.516700,0.000195,0.788200,0.450900,0.844300,0.515300,0.061400,0.065400,0.511300,0.000122,0.843000,0.608000,0.376400,0.435700,-0.024400,0.002000,0.482900,0.000077,-2.041100,0.094700,0.605800,-0.839100
lstm_transformer,price_only,48,0.015900,0.006800,0.516400,0.000195,0.738400,0.403900,0.840400,0.482600,0.015200,0.035300,0.515600,0.000122,0.939200,0.527400,0.332500,0.485400,-0.005100,0.014200,0.503100,0.000077,-0.711600,0.426600,0.518000,-0.292300
modern_tcn,price_only,48,0.416400,0.420100,0.639500,0.000188,12.303500,1.987100,0.207800,7.715500,0.033200,0.042700,0.521400,0.000122,-0.686900,0.307800,0.581400,-0.355300,0.000600,-0.003500,0.495400,0.000077,-2.215400,0.151800,0.658100,-0.911700
patchtst,price_only,48,0.076700,0.091500,0.528700,0.000194,1.990600,0.464700,0.611400,1.299900,0.054200,0.073100,0.517600,0.000121,0.567200,0.330200,0.352300,0.293200,-0.030200,-0.021100,0.500200,0.000077,-2.559000,-0.241100,0.724400,-1.051500
tcn,price_only,48,0.229600,0.286600,0.560800,0.000191,5.874000,0.990200,0.286900,3.792000,0.011500,0.037700,0.513700,0.000122,0.055600,-0.036000,0.353000,0.028800,-0.023500,-0.018600,0.485800,0.000077,-2.630400,-0.304500,0.707000,-1.081600
timemixer,price_only,48,0.041100,0.036200,0.516500,0.000195,0.705900,0.364500,0.879200,0.461300,0.035400,0.051400,0.516600,0.000122,1.138900,0.370700,0.346200,0.588500,-0.016500,-0.007000,0.503600,0.000078,-0.888300,0.121900,0.563700,-0.364700
transformer,price_only,48,0.062200,0.064200,0.524200,0.000194,1.168100,0.467000,0.780500,0.763900,0.030900,0.040900,0.508900,0.000122,0.400200,0.315200,0.388000,0.206900,-0.005400,0.015700,0.509900,0.000078,-0.041800,-0.011300,0.382500,-0.017200
xgboost,price_only,48,0.000000,0.000000,0.516400,0.000195,0.738400,0.000000,0.840400,0.482600,0.000000,0.000000,0.515600,0.000122,0.939200,0.000000,0.332500,0.485400,0.000000,0.000000,0.503100,0.000077,-0.711600,0.000000,0.518000,-0.292300
